name,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
INTRO,26301,0.582,0.0494,4,-16.357,1,0.0352,0.972,0.695,0.121,0.38,72.988
ORGASM,134564,0.832,0.679,1,-6.827,1,0.0499,0.0447,0.0,0.105,0.641,145.987
MIS PUTAS LO MUEVEN PT1,147546,0.794,0.597,10,-6.811,0,0.167,0.108,0.0,0.0711,0.718,85.059
MIS PUTAS LO MUEVEN PT2,177312,0.694,0.59,11,-6.81,1,0.117,0.054,1.06e-06,0.112,0.547,174.029
NO ME HABLES,138146,0.747,0.603,11,-8.304,0,0.105,0.185,0.0,0.298,0.425,83.967
PRIMARK,154622,0.733,0.597,2,-8.185,1,0.286,0.00973,0.0,0.137,0.23,165.905
CULO SHAKE (Tokio Outbreak),233500,0.564,0.729,4,-6.411,0,0.142,0.0196,3.32e-06,0.112,0.605,135.017
Make Up,134693,0.49,0.518,11,-7.957,0,0.336,0.608,1.01e-06,0.119,0.194,95.7
Chapiadora,146666,0.757,0.709,9,-5.617,0,0.361,0.363,0.0,0.106,0.38,179.914
Contarte,173925,0.858,0.708,6,-5.526,1,0.169,0.713,0.00181,0.172,0.76,94.974
Bobo,188936,0.639,0.64,8,-7.035,0,0.227,0.664,0.0,0.14,0.428,93.927
Bitch Feka,153386,0.714,0.631,4,-7.792,0,0.165,0.0319,1.34e-06,0.133,0.821,83.788
Lokita,160592,0.773,0.702,6,-6.791,1,0.152,0.102,1.02e-06,0.206,0.51,135.934
Hoes Dinner,165542,0.862,0.538,1,-9.097,1,0.384,0.0859,0.00131,0.0814,0.78,83.012
De La Calle,175681,0.589,0.69,6,-7.161,0,0.422,0.061,0.0,0.131,0.163,82.736
Tu Mamá,158117,0.84,0.445,11,-6.786,0,0.301,0.374,6.33e-06,0.107,0.815,170.027
Bebé,177321,0.759,0.652,6,-4.854,0,0.186,0.173,4.93e-05,0.2,0.588,167.991
Chill,156631,0.826,0.527,0,-7.458,0,0.46,0.69,0.0,0.111,0.268,94.913
Portarse Mal,150000,0.874,0.736,0,-6.086,1,0.155,0.102,6.23e-05,0.116,0.602,96.018
La 9,172121,0.818,0.594,7,-8.677,1,0.103,0.199,5.75e-05,0.0963,0.345,99.001
Yo lo pongo loco,176744,0.89,0.728,7,-5.609,1,0.0637,0.0175,0.0158,0.0687,0.703,113.994
Chile TK,260186,0.879,0.605,2,-7.278,1,0.309,0.206,0.0,0.118,0.591,107.021
Fulana,186320,0.699,0.715,11,-6.569,1,0.0833,0.0379,0.0,0.0943,0.153,95.092
Gogo,167646,0.422,0.676,11,-7.202,0,0.0839,0.0265,0.00788,0.86,0.0703,107.349
Boss Bitch,169413,0.698,0.769,9,-5.717,0,0.041,0.119,8.32e-06,0.143,0.277,76.481
Drug Dealer,123711,0.571,0.615,5,-6.776,0,0.124,0.449,0.0,0.0998,0.623,119.721
Phonecall,225600,0.538,0.632,6,-6.615,1,0.0858,0.193,5.61e-05,0.0962,0.548,108.589
Full Time,156013,0.776,0.626,8,-5.631,1,0.0966,0.04,0.00103,0.114,0.43,159.929
Armani Fucsia,196133,0.689,0.606,1,-8.181,1,0.0796,0.0214,0.005,0.35,0.163,186.048
Filet Mignon,102295,0.787,0.476,1,-5.15,1,0.068,0.0275,0.0,0.11,0.378,121.919
Boss,150893,0.806,0.629,1,-6.341,1,0.119,0.00511,5.68e-05,0.112,0.225,139.94
