Artista,name,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
Judeline,si preguntas por mi,215412,0.593,0.717,7,-3.924,0,0.0472,0.441,8.72e-05,0.218,0.307,99.966,3
Judeline,mangata,183360,0.584,0.462,1,-14.445,1,0.14,0.797,0.753,0.118,0.366,127.028,4
Judeline,CANIJO,141586,0.577,0.467,2,-8.496,0,0.349,0.568,1.45e-05,0.174,0.41,84.41,1
Judeline,La Tortura - Spotify Singles,151214,0.536,0.472,9,-9.345,0,0.16,0.863,0.00487,0.143,0.555,95.602,1
Judeline,2+1,157727,0.723,0.583,0,-5.903,0,0.0822,0.416,0.0123,0.18,0.507,97.706,1
Judeline,Nueva en la Ciudad,150816,0.655,0.505,5,-9.209,0,0.435,0.147,3.96e-06,0.173,0.373,147.954,1
Judeline,Sustancia,173683,0.651,0.374,0,-15.033,1,0.0694,0.59,0.000958,0.0913,0.0797,120.136,2
Judeline,ZAHARA,160666,0.679,0.449,2,-5.303,0,0.322,0.551,0.000336,0.0891,0.25,90.118,1
Judeline,De una Manera,176070,0.671,0.358,9,-10.917,1,0.207,0.929,0.000918,0.354,0.521,89.768,0
Judeline,EN EL CIELO,148915,0.491,0.422,0,-7.492,0,0.146,0.658,0.00264,0.281,0.303,165.982,1
